index,character count,word count
0,52,9
1,37,9
2,72,12
3,94,16
4,11,3
5,13,3
6,182,36
7,530,96
8,97,19
9,312,53
10,70,13
11,262,47
12,68,11
13,50,8
14,255,42
15,5,1
16,13,3
17,52,8
18,39,7
19,56,9
20,355,64
21,330,55
22,29,7
23,330,62
24,11,3
25,37,8
26,1128,196
27,345,55
28,107,16
29,23,5
30,45,8
31,49,8
32,50,7
33,192,32
34,20,4
35,418,70
36,114,23
37,52,11
38,614,116
39,184,33
40,441,86
41,47,9
42,53,9
43,166,28
44,44,9
45,414,78
46,138,26
47,65,14
48,136,23
49,18,4
50,15,3
51,196,38
52,133,25
53,170,31
54,39,7
55,103,17
56,428,85
57,32,6
58,39,7
59,39,7
60,71,9
61,23,5
62,143,27
63,24,5
64,30,6
65,63,11
66,78,18
67,54,10
68,84,15
69,182,37
70,64,12
71,105,20
72,251,49
73,76,13
74,84,20
75,259,44
76,59,9
77,102,21
78,246,43
79,476,93
80,67,12
81,30,6
82,109,23
83,31,5
84,96,20
85,81,12
86,87,14
87,142,23
88,113,21
89,218,36
90,204,35
91,342,64
92,44,10
93,77,12
94,118,21
95,160,26
96,98,17
97,117,21
98,140,25
99,558,97
100,52,9
101,138,26
102,81,18
103,61,14
104,156,30
105,113,24
106,46,9
107,41,8
108,150,28
109,40,7
110,75,16
111,27,6
112,24,5
113,137,25
114,467,77
115,405,74
116,428,81
117,21,5
118,3,1
119,72,13
120,578,103
121,12,2
122,18,2
123,81,13
124,182,33
125,99,14
126,35,6
127,404,74
128,788,135
129,342,65
130,36,7
131,218,40
132,16,1
133,0,1
134,0,1
135,202,36
136,237,43
137,346,57
138,174,32
139,40,8
140,63,11
141,17,4
142,12,2
143,7,2
144,118,19
145,67,11
146,216,32
147,53,10
148,35,6
149,95,16
150,223,38
151,123,23
152,33,7
153,15,2
154,27,5
155,19,2
156,290,52
157,66,11
158,43,10
159,107,21
160,21,4
161,115,22
162,95,18
163,155,24
164,25,4
165,144,25
166,35,6
167,270,48
168,26,5
169,23,5
170,10,2
171,49,10
172,4,1
173,213,40
174,24,4
175,38,8
176,30,6
177,57,12
